조사일,상품명,업태,평균판매가격
2024-12-20,"당근(흙당근, 100g)",백화점,895
2024-12-20,"당근(흙당근, 100g)",기업형슈퍼,878
2024-12-20,"감자(껍질 있는 감자, 100g)",대형마트,342
2024-12-20,"감자(껍질 있는 감자, 100g)",백화점,663
2024-12-20,"감자(껍질 있는 감자, 100g)",기업형슈퍼,393
2024-12-20,"고구마(껍질 있는 밤고구마, 100g)",대형마트,518
2024-12-20,"고구마(껍질 있는 밤고구마, 100g)",백화점,811
2024-12-20,"고구마(껍질 있는 밤고구마, 100g)",기업형슈퍼,661
2024-12-20,양송이버섯(100g),대형마트,2040
2024-12-20,양송이버섯(100g),백화점,4375
2024-12-20,양송이버섯(100g),기업형슈퍼,2762
2024-12-20,양송이버섯(100g),편의점,2685
2024-12-20,풋고추(100g),대형마트,1458
2024-12-20,풋고추(100g),백화점,2867
2024-12-20,풋고추(100g),기업형슈퍼,2234
2024-12-20,풋고추(100g),편의점,1666
2024-12-20,애호박,대형마트,2064
2024-12-20,애호박,백화점,2697
2024-12-20,애호박,기업형슈퍼,2455
2024-12-20,애호박,편의점,2900
2024-12-20,"대파(흙대파, 500~800g)",대형마트,3280
2024-12-20,"대파(흙대파, 500~800g)",백화점,5113
2024-12-20,"대파(흙대파, 500~800g)",기업형슈퍼,4235
2024-12-20,"마늘(깐마늘, 100g)",대형마트,1409
2024-12-20,"마늘(깐마늘, 100g)",백화점,2045
2024-12-20,"마늘(깐마늘, 100g)",기업형슈퍼,1465
2024-12-20,정통크림빵(3개입),대형마트,4080
2024-12-20,정통크림빵(3개입),백화점,3950
2024-12-20,정통크림빵(3개입),기업형슈퍼,3580
2024-12-20,정통크림빵(3개입),편의점,3300
2024-12-20,"갈치(냉동, 100g)",대형마트,1762
2024-12-20,"갈치(냉동, 100g)",백화점,3400
2024-12-20,"갈치(냉동, 100g)",기업형슈퍼,2084
2024-12-20,참조기(200~400g),대형마트,2484
2024-12-20,"오징어(냉동, 200~300g)",대형마트,5450
2024-12-20,"오징어(냉동, 200~300g)",백화점,7375
2024-12-20,"오징어(냉동, 200~300g)",기업형슈퍼,3300
2024-12-20,"고구마(껍질 있는 호박고구마, 100g)",대형마트,644
2024-12-20,"고구마(껍질 있는 호박고구마, 100g)",백화점,1254
2024-12-20,"고구마(껍질 있는 호박고구마, 100g)",기업형슈퍼,843
2024-12-20,느타리버섯(100g),대형마트,470
2024-12-20,느타리버섯(100g),백화점,1100
2024-12-20,느타리버섯(100g),기업형슈퍼,967
2024-12-20,오이(백다다기),대형마트,1303
2024-12-20,오이(백다다기),백화점,2310
2024-12-20,오이(백다다기),기업형슈퍼,1766
2024-12-20,오이(백다다기),편의점,1250
2024-12-20,국산콩두부 찌개용(380g),대형마트,5480
2024-12-20,국산콩두부 찌개용(380g),백화점,4200
2024-12-20,국산콩두부 찌개용(380g),기업형슈퍼,2750
2024-12-20,행복한콩 찌개두부(300g),대형마트,1580
2024-12-20,행복한콩 찌개두부(300g),백화점,1417
2024-12-20,행복한콩 찌개두부(300g),기업형슈퍼,1698
2024-12-20,행복한콩 찌개두부(300g),편의점,1800
2024-12-20,행복한콩 부침두부(300g),대형마트,1680
